5
jpg\101_1.tif.jpg
388,374
24
322,359
311,359
239,331
185,249
146,241
151,218
226,217
165,224
284,214
150,194
175,186
195,180
255,169
215,168
116,139
163,134
226,130
175,126
301,92
172,85
246,79
145,63
189,48
215,45
jpg\101_2.tif.jpg
388,374
16
148,168
110,163
128,147
143,143
116,136
191,133
247,129
117,114
135,109
158,97
218,83
180,82
78,63
125,53
138,45
189,44
jpg\101_3.tif.jpg
388,374
22
287,359
263,359
132,319
211,307
156,299
246,284
178,274
123,192
86,184
119,167
102,170
91,158
165,157
221,153
110,130
132,117
194,106
155,106
101,71
169,68
118,64
117,22
jpg\101_4.tif.jpg
388,374
24
311,359
287,359
251,355
146,283
182,282
162,266
147,259
167,251
216,242
143,235
271,233
161,225
180,208
198,193
100,187
239,185
139,172
150,161
204,154
140,124
106,108
212,101
140,77
176,70
jpg\101_5.tif.jpg
388,374
11
214,185
170,93
133,85
272,73
152,75
166,71
214,66
141,64
145,39
164,35
186,23
